"WT"	"dQ"	"HtoA"	"Null"	"WT_pH7"
"YBL011W"	-0.683359108921143	-0.446859382500072	-0.506632569995517	-0.527105047738347	-0.182338541167231
"YBL012C"	-1.01959511228601	-0.509421218070908	-0.421345704852571	-0.985338370278117	-0.137316216274623
"YBL013W"	-0.604873596912831	-0.289276528871966	-0.584628814331294	-0.0574530211124325	0.0640533163173606
"YBL014C"	0.140285631605009	-0.387393141700535	-0.0954688229307459	0.624142865988638	1.23844475123395
"YBL015W"	2.5179498696707	1.71968100881533	1.75294291470607	2.37468360255115	2.66768854693098
"YBL016W"	1.24222131416937	0.199857293043953	0.837635210694404	1.22252578922771	0.86618388591841
"YBL017C"	0.157431678627783	0.0594548820891253	0.0656895693109483	0.00416235267074519	0.119623701998803
"YBL018C"	1.05900583507512	0.0496935498339654	1.20355728377998	1.26819097756467	1.18971400491563
"YBL019W"	-0.165392374959513	0.247564429408296	-0.205044453252015	-0.0285950269620562	-0.698271388502048
"YBL020W"	-0.318104348111298	-0.922016112131187	-0.723287398315261	-0.125074739931991	-0.872646787641947
"YBL021C"	0.585929530527847	-0.0472442820785318	0.175428591818201	0.82602676728705	-0.272636612676883
"YBL022C"	-0.00143474924952989	0.218089408523316	0.224774874649861	-0.314924273924888	-0.378701062911063
"YBL023C"	-0.363458737168952	-0.0212265839787339	-0.328464540903566	-0.303716677106343	-1.19842823246048
"YBL024W"	-0.302004221253375	0.208185749594502	0.444006507707845	-0.622781853560922	-0.526281681744823
"YBL025W"	0.343499879624141	0.0758593452245774	-0.00496286810311037	0.892553195983641	-0.133945873252045
"YBL026W"	0.492810228335457	0.315458662942017	0.916090647495511	-0.302622931099718	0.054207757424955
"YBL027W"	-0.660011442866263	-0.0945579806036619	0.446732963983351	-1.81370593828993	-1.49748639166634
"YBL028C"	1.02121219569596	0.402925253024564	1.45950691418419	1.87203952568763	0.74943395673228
"YBL029C-A"	0.177568946998919	1.14451869619258	0.32993856996215	0.0516051134145039	0.827031835412217
"YBL029W"	0.883630653494046	0.18729340464012	0.411393483889493	0.878512034181182	-0.0762349924799929
"YBL030C"	0.168016235562985	0.366620278809426	0.356827425842237	0.271934689250634	-0.682257390722739
"YBL031W"	-0.907837594973141	-0.480711808252201	-0.597968208782628	-0.939181002222283	-0.467292166127521
"YBL032W"	-0.259984582198934	-0.683752333476872	-0.297256958274435	-0.356560403908478	-0.224147446674725
"YBL033C"	0.610197491764702	0.316183106802975	0.479791003584283	0.682381786582745	1.28261762686052
