"WT_Dex_1"	"WT_Dex_2"	"WT_Dex_4"	"dQ_snf5_Dex_1"	"dQ_snf5_Dex_2"	"dQ_snf5_Dex_4"	"HtoA_snf5_Dex_1"	"HtoA_snf5_Dex_2"	"HtoA_snf5_Dex_4"	"Null_Dex_1"	"Null_Dex_2"	"Null_Dex_4"	"WT_Stv_pH5_1"	"WT_Stv_pH5_2"	"WT_Stv_pH5_4"	"WT_Stv_pH7_1"	"WT_Stv_pH7_2"	"WT_Stv_pH7_4"	"dQ_snf5_Stv_pH5_2"	"dQ_snf5_Stv_pH5_3"	"dQ_snf5_Stv_pH5_4"	"HtoA_snf5_Stv_pH5_2"	"HtoA_snf5_Stv_pH5_3"	"HtoA_snf5_Stv_pH5_4"	"Null_Stv_pH5_2"	"Null_Stv_pH5_3"	"Null_Stv_pH5_4"
"YAL031W-A"	238.371697267976	281.99435004128	193.12015058006	196.494749616521	212.971592907835	176.339559458525	213.237083244002	208.861414164237	217.105457733328	312.73413361547	203.329057222571	331.112602305062	200.61750105027	208.068520737804	206.4145383745	235.64977253291	168.343504192088	210.738481007008	119.171476866029	96.2179192806664	152.691942548316	279.379652645571	134.330859557638	161.956927053595	251.514399784485	272.237916979613	298.406806138561
"YAL032C"	1175.86549706631	1285.6139933559	1065.67921150049	1149.94086423305	930.141049955614	982.463259840352	1247.35025523625	1210.08496457486	1328.55578612932	1359.3097490811	1279.98263242977	1429.96980995483	1647.37832593203	1509.7255264558	1303.54395245842	2037.02622162677	1865.42801942585	1981.85797573112	1135.43934902911	803.210456603824	1220.41280551485	1581.3741407381	1131.47916319703	1077.58742803376	2181.74118882821	2430.94059368445	2065.89327326696
"YAL033W"	235.325413596819	241.709442892525	254.887324247366	346.098706710917	292.216836780518	354.616916273737	279.982023934197	221.037191671569	264.090967242779	240.278898698619	185.26831001942	249.607961737662	265.239484561655	317.836952938063	329.299458107178	241.975940923055	250.240344069321	243.72363455593	334.342198985249	556.39057670994	423.271046622906	281.512321749735	409.192464498652	544.532345290435	254.021187822204	280.466770893354	257.247246671173
"YAL034C"	3556.53618607491	2858.47688985943	2370.60848809207	893.157952802368	816.226011888633	935.956123279862	1409.44511119816	1167.9380424341	1488.14449946315	1781.65564834002	1767.62280691484	2114.754334722	4739.58846231263	4500.50572021062	2742.02036579977	15524.4172294164	10685.26269176	13223.3815560571	2846.87416957736	1464.18572818405	1904.15834236724	3050.78315350755	3342.77177437661	1377.27150565262	2619.59349941648	3288.11287636585	2446.6191983403
"YAL034C-B"	7.61570917789059	8.75758851059875	9.38235549376809	5.5822372050148	14.858483226128	21.3157709235579	7.80135670404884	12.1757775073322	17.8220898139299	3.09637756054921	7.57386173035365	10.188080070925	11.574086599054	9.01084144927499	27.3077599405953	6.32616839014523	6.82473665643602	6.41377985673501	16.5515940091707	71.1175925117969	19.0864928185395	21.3266910416466	27.8994862158172	57.3863127355259	15.8763242388878	6.17164043530609	26.9120196517535
"YAL034W-A"	380.023887976741	481.667368082931	334.637345944395	467.79147778024	380.377170588877	319.736563853369	507.955003174736	390.561478504425	476.335855026853	365.372552144807	407.823323942119	438.087443049774	496.721216542736	462.829583530943	335.724813387318	321.053045799871	191.092626380209	261.13246559564	274.756460552234	286.562063944593	316.61123381342	406.273464343368	347.19360624128	399.153686360436	572.383268612533	524.589437001018	549.321812891675
"YAL035W"	2232.16436003973	2086.05758322462	2654.42474177856	4353.02857247054	3919.66787505257	7606.82352367515	2952.38010377671	3056.12015434038	2807.7892406855	2173.03777199344	1797.33564908777	1835.30985277663	1697.53270119459	1673.55900735171	6078.3860950125	2199.92505767301	2274.91221881201	2408.83246333662	6259.81285426837	11044.1437783026	7166.41668592575	3702.31356482985	7282.79921663257	11074.2831065624	1906.83010069168	2010.58330625749	1769.06952710792
"YAL036C"	198.008438625155	142.74869272276	329.946168197511	535.894771681421	357.594162975481	1298.32422898035	291.25065028449	218.227396862185	302.165431845266	181.447725048184	93.2167597581987	200.123001393169	369.406263953142	336.677803241093	1011.99345662206	385.896271798859	484.556302606957	392.156825526084	536.271645897131	1395.15982956966	1482.01003061601	259.119296156006	694.387212482561	1956.23563858437	439.52350261342	457.387130038796	660.927541447476
"YAL037C-A"	3.8078545889453	0	0.781862957814008	0	0.990565548408535	2.90669603503063	1.73363482312197	2.80979480938435	2.4302849746268	0	0	0	0	0.819167404479545	1.60633882003502	0	0	0	0	10.458469487029	0	0	0	2.5505027882456	0	0	1.58305997951491
"YAL037C-B"	17186.3709017457	15264.4767739736	16075.102412656	41013.8131926847	43128.2334121592	44242.8203492012	28779.2048812362	24382.4627575676	15255.708880724	8354.02665836177	6580.52063418034	8274.17645760122	1337.77150940733	1685.02735101442	25958.4353317659	2290.07295723257	4024.31971507844	1679.49406819933	46692.0466998706	109075.56166802	49174.6646446596	21394.9364529799	58860.6827152442	65220.1820496222	373.511417620149	309.953497417595	1105.76739569117
"YAL037W"	172.876598338117	225.070024722388	158.718180436244	204.309881703542	238.726297166457	124.019030827973	188.099378308733	233.212969178901	176.600708156214	188.879031193502	237.702737383407	216.860561509689	103.202272174899	95.0234189196272	89.1518045119434	86.984815364497	136.49473312872	81.5466296070594	102.619882856858	94.1262253832606	98.8006687077339	75.7097531978454	48.5657723016077	103.295362923947	96.9291374584728	130.290186967573	109.231138586529
"YAL038W"	52553.7243238696	44389.5888836719	57376.2312962232	141792.174349699	137554.884879751	174097.527916838	100305.510413602	80351.7021639643	59190.4006520273	18593.1279755859	17684.3845356273	24237.4424887305	1770.83524965527	2874.45842231872	55086.1771554608	5065.6793384088	11101.5716278026	4592.26637742227	86475.4580603134	164497.083173684	95463.9006691046	34204.8134271449	69070.861355929	149111.319760596	311.677312689744	536.246980045485	1516.57146037529
"YAL039C"	2877.97649832486	3166.74400543251	2783.43212981787	3916.49762303838	3446.17754291329	3280.69092487124	2863.09791038593	2601.86999348991	3433.18257415613	2906.8792538436	2072.90769512294	3789.9657863841	3087.38760029767	4351.41725259534	3991.75196778702	4009.20921725454	4513.42584212302	4341.21270874436	4386.17241243024	3557.97131948725	4366.31591595883	5058.69111507858	3812.92978282835	4079.52920979883	4066.01019718042	4725.41935996603	3929.15486915601
"YAL040C"	2906.15462228305	2416.21867007419	2158.72362652448	2512.00674225666	2772.59296999549	2342.79700423469	2466.96235330256	2661.81228275678	2344.41490552332	1872.06987310805	2202.24594928745	2004.14089395196	499.6147381925	526.724641080347	696.34787848518	1426.55097197775	1455.94382003968	1133.4065261116	380.686662210927	493.639759787767	935.238148108436	769.893546603442	446.391779453075	907.978992615432	252.349995797058	262.637587413581	327.693415759587
"YAL041W"	1363.97351376021	1360.92925454705	1290.07388039311	1349.78495617258	1259.99937757566	1298.32422898035	1405.97784155191	1536.02116246345	1394.17348044424	1374.79163688385	1492.63336562816	1214.56468845527	893.133682560337	1001.84173567848	994.323729601675	1436.04022456297	1385.42154125651	1246.10580073709	1294.33465151715	1022.83831583143	1126.10307629383	1144.17697438434	1134.5791061099	1177.05703677534	1049.50859179174	1073.17969791711	861.184628856113
"YAL042C-A"	43.4095423139764	40.2849071487542	32.0563812703743	72.5690836651924	36.6509252911158	18.4090748885273	58.0767665745858	32.7809394428174	15.3918048393031	19.816816387515	19.2259567001285	40.0246002786339	8.68056494929053	21.2983525164682	9.6380329202101	145.50187297334	81.8968398772322	164.925767744615	0	10.458469487029	7.85914410175157	13.8623491770703	21.69960039008	16.5782681235964	29.2458604400564	54.8590260916097	25.3289596722386
